"Scenario","ProductUsageRate","PredictedRisk","Lower","Upper"
"Stable renewal",0.25,0.0551144739584801,0.0199930918528482,0.142934235689886
"Stable renewal",0.258227848101266,0.0543328972449108,0.0198829296008504,0.139949318495831
"Stable renewal",0.266455696202532,0.0535617757673039,0.0197723728910227,0.137022805498278
"Stable renewal",0.274683544303797,0.0528009873935721,0.0196614076219781,0.134154036334239
"Stable renewal",0.282911392405063,0.0520504109154888,0.0195500194384443,0.131342338037407
"Stable renewal",0.291139240506329,0.0513099260568715,0.0194381937335957,0.128587026218132
"Stable renewal",0.299367088607595,0.0505794134811805,0.019325915652274,0.125887406206759
"Stable renewal",0.307594936708861,0.0498587547985462,0.0192131700951872,0.123242774159705
"Stable renewal",0.315822784810127,0.0491478325722428,0.0190999417241798,0.120652418127779
"Stable renewal",0.324050632911392,0.048446530324621,0.0189862149686765,0.118115619086388
"Stable renewal",0.332278481012658,0.0477547325425164,0.0188719740334064,0.115631651927364
"Stable renewal",0.340506329113924,0.0470723246821478,0.018757202907522,0.11319978641225
"Stable renewal",0.34873417721519,0.0463991931735188,0.0186418853752348,0.110819288086982
"Stable renewal",0.356962025316456,0.0457352254243386,0.0185260050280955,0.108489419158001
"Stable renewal",0.365189873417722,0.0450803098234747,0.0184095452790544,0.106209439329891
"Stable renewal",0.373417721518987,0.0444343357439524,0.0182924893784438,0.103978606604727
"Stable renewal",0.381645569620253,0.0437971935455136,0.0181748204320321,0.101796178043377
"Stable renewal",0.389873417721519,0.0431687745767492,0.0180565214213041,0.0996614104890721
"Stable renewal",0.398101265822785,0.0425489711768175,0.0179375752261305,0.0975735612536073
"Stable renewal",0.406329113924051,0.0419376766767621,0.0178179646499915,0.0955318887665805
"Stable renewal",0.414556962025316,0.0413347854004415,0.0176976724479285,0.0935356531881396
"Stable renewal",0.422784810126582,0.0407401926650837,0.0175766813573988,0.0915841169857303
"Stable renewal",0.431012658227848,0.0401537947814767,0.017454974132211,0.0896765454753829
"Stable renewal",0.439240506329114,0.0395754890538079,0.0173325335797223,0.0878122073281072
"Stable renewal",0.44746835443038,0.0390051737791643,0.017209342601477,0.0859903750419922
"Stable renewal",0.455696202531646,0.0384427482467038,0.0170853842374641,0.0842103253806375
"Stable renewal",0.463924050632911,0.0378881127365108,0.0169606417141665,0.0824713397785639
"Stable renewal",0.472151898734177,0.0373411685181455,0.0168350984965702,0.0807727047142792
"Stable renewal",0.480379746835443,0.0368018178488981,0.0167087383442886,0.0791137120516929
"Stable renewal",0.488607594936709,0.0362699639717598,0.0165815453719474,0.0774936593505982
"Stable renewal",0.496835443037975,0.0357455111131191,0.0164535041139558,0.0759118501469641
"Stable renewal",0.505063291139241,0.0352283644801951,0.016324599593773,0.0743675942038007
"Stable renewal",0.513291139240506,0.0347184302582171,0.016194817397749,0.0728602077333885
"Stable renewal",0.521518987341772,0.0342156156073596,0.0160641437535936,0.0713890135916903
"Stable renewal",0.529746835443038,0.0337198286594444,0.015932565613489,0.0699533414457932
"Stable renewal",0.537974683544304,0.0332309785144158,0.0158000707418227,0.0685525279152652
"Stable renewal",0.54620253164557,0.0327489752366014,0.0156666478074697,0.067185916688345
"Stable renewal",0.554430379746836,0.0322737298507648,0.0155322864805028,0.0658528586139285
"Stable renewal",0.562658227848101,0.0318051543379602,0.0153969775331482,0.064552711770361
"Stable renewal",0.570886075949367,0.031343161631197,0.0152607129447412,0.0632848415120948
"Stable renewal",0.579113924050633,0.0308876656109224,0.015123486010367,0.0620486204953297
"Stable renewal",0.587341772151899,0.0304385811003307,0.0149852914527919,0.0608434286838125
"Stable renewal",0.595569620253165,0.029995823860506,0.0148461255372116,0.0596686533360379
"Stable renewal",0.60379746835443,0.0295593105854077,0.0147059861882563,0.0585236889751628
"Stable renewal",0.612025316455696,0.0291289588967039,0.0145648731086007,0.0574079373430148
"Stable renewal",0.620253164556962,0.0287046873384627,0.0144227878984366,0.056320807339655
"Stable renewal",0.628481012658228,0.0282864153717056,0.01427973417497,0.0552617149500229
"Stable renewal",0.636708860759494,0.0278740633688321,0.0141357176910111,0.0542300831592734
"Stable renewal",0.644936708860759,0.0274675526079214,0.0139907464516347,0.0532253418584809
"Stable renewal",0.653164556962025,0.0270668052669174,0.0138448308278016,0.0522469277424559
"Stable renewal",0.661392405063291,0.0266717444177035,0.0136979836657476,0.0512942842014807
"Stable renewal",0.669620253164557,0.0262822940200739,0.0135502203908814,0.0503668612088191
"Stable renewal",0.677848101265823,0.0258983789156064,0.0134015591048657,0.0494641152058973
"Stable renewal",0.686075949367089,0.0255199248214437,0.0132520206745159,0.0485855089870776
"Stable renewal",0.694303797468354,0.0251468583239878,0.0131016288111205,0.0477305115859537
"Stable renewal",0.70253164556962,0.0247791068725129,0.0129504101387784,0.0468985981650867
"Stable renewal",0.710759493670886,0.0244165987727037,0.0127983942503644,0.0460892499110645
"Stable renewal",0.718987341772152,0.0240592631801226,0.0126456137497688,0.0453019539367144
"Stable renewal",0.727215189873418,0.0237070300936108,0.012492104279125,0.0445362031922103
"Stable renewal",0.735443037974684,0.0233598303486298,0.0123379045298274,0.0437914963867104
"Stable renewal",0.743670886075949,0.0230175956105459,0.0121830562362617,0.0430673379220211
"Stable renewal",0.751898734177215,0.0226802583678644,0.0120276041513172,0.04236323783962
"Stable renewal",0.760126582278481,0.0223477519254155,0.0118715960029207,0.0416787117821805
"Stable renewal",0.768354430379747,0.0220200103974987,0.0117150824310327,0.0410132809705241
"Stable renewal",0.776582278481013,0.0216969687009879,0.0115581169047629,0.0403664721966928
"Stable renewal",0.784810126582279,0.021378562548402,0.0114007556195035,0.0397378178335774
