"Section","Teacher","Course","Year","N","Raw_gain","Expected_gain","Adjusted_signal","Residual_CI","Category"
"Y06-SEC-002","TCH-002","MATH-GEOM","2024-2025",10,"9.02","6.33","1.31","-0.00 to 5.39","Within expected range"
"Y06-SEC-013","TCH-004","MATH-AP-PRECALC","2024-2025",9,"7.18","4.61","1.19","0.35 to 4.80","Above expected"
"Y06-SEC-018","TCH-005","MATH-AP-CALC-AB","2024-2025",13,"6.69","5.08","0.89","-1.41 to 4.62","Within expected range"
"Y06-SEC-011","TCH-004","MATH-AP-PRECALC","2024-2025",10,"5.67","4.09","0.77","-1.76 to 4.92","Within expected range"
"Y06-SEC-010","TCH-003","MATH-ALG2-H","2024-2025",12,"6.90","5.69","0.64","-1.40 to 3.81","Within expected range"
"Y06-SEC-006","TCH-002","MATH-ALG2","2024-2025",11,"7.63","6.47","0.59","-1.43 to 3.75","Within expected range"
"Y06-SEC-012","TCH-004","MATH-AP-PRECALC","2024-2025",11,"5.64","4.58","0.54","-1.97 to 4.09","Within expected range"
"Y06-SEC-001","TCH-001","MATH-ALG1","2024-2025",13,"7.13","6.45","0.38","-1.59 to 2.95","Within expected range"
"Y06-SEC-003","TCH-001","MATH-GEOM","2024-2025",9,"7.02","6.34","0.31","-2.29 to 3.64","Within expected range"
"Y06-SEC-009","TCH-003","MATH-ALG2-H","2024-2025",14,"5.57","5.50","0.04","-2.84 to 2.97","Within expected range"
"Y06-SEC-020","TCH-005","MATH-AP-CALC-AB","2024-2025",12,"4.85","4.96","-0.06","-3.22 to 2.99","Within expected range"
"Y06-SEC-015","TCH-003","MATH-PRECALC","2024-2025",11,"6.13","6.76","-0.32","-2.82 to 1.56","Within expected range"
"Y06-SEC-008","TCH-002","MATH-ALG2","2024-2025",10,"6.33","7.12","-0.38","-4.28 to 2.70","Within expected range"
"Y06-SEC-007","TCH-002","MATH-ALG2","2024-2025",12,"5.79","6.91","-0.60","-3.71 to 1.46","Within expected range"
"Y06-SEC-014","TCH-003","MATH-PRECALC","2024-2025",10,"4.81","6.18","-0.67","-5.16 to 2.43","Within expected range"
"Y06-SEC-022","TCH-005","MATH-AP-CALC-BC","2024-2025",10,"3.10","4.56","-0.71","-4.29 to 1.36","Within expected range"
"Y06-SEC-017","TCH-003","MATH-PRECALC","2024-2025",9,"4.78","6.35","-0.72","-5.83 to 2.69","Within expected range"
"Y06-SEC-024","TCH-004","MATH-BEYOND-CORE","2024-2025",3,"-0.11","3.28","-0.75","-14.88 to 8.09","Small group"
"Y06-SEC-005","TCH-001","MATH-GEOM","2024-2025",11,"4.00","5.49","-0.76","-4.87 to 1.89","Within expected range"
"Y06-SEC-023","TCH-005","MATH-AP-CALC-BC","2024-2025",9,"1.89","3.67","-0.82","-4.71 to 1.15","Within expected range"
"Y06-SEC-016","TCH-004","MATH-PRECALC","2024-2025",10,"4.11","6.16","-1.00","-5.33 to 1.25","Within expected range"
"Y06-SEC-004","TCH-002","MATH-GEOM","2024-2025",9,"4.01","6.57","-1.18","-8.36 to 3.25","Within expected range"
"Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2024-2025",12,"3.10","5.58","-1.32","-5.33 to 0.37","Within expected range"
"Y06-SEC-019","TCH-005","MATH-AP-CALC-AB","2024-2025",12,"2.41","5.12","-1.45","-5.60 to 0.18","Within expected range"
